Portfolio, Symbol, Current Price, Date      , Time     , Change     , Open       , High       , Low        , Volume   , Trade Date, Purchase Price, Quantity, Commission, High Limit, Low Limit, Comment, Transaction Type
ISA      , AMZN  ,      244.22  , 31/10/2025, 16:00 EDT, 21.36      ,   250.2    ,   250.5    ,   243.98   , 166088899,   20250801,      218      ,       23,          0,           ,          ,        , 
ISA      , AAPL  ,      270.37  , 31/10/2025, 16:00 EDT, -1.0299988 ,   276.99   ,   277.32   ,   269.16   ,  75267591,   20250702,      211.75   ,       19,          0,           ,          ,        , 
ISA      , ORCL  ,      262.61  , 31/10/2025, 16:03 EDT, 5.71997    ,   259.51   ,   265.81   ,   256.7097 ,  14165859,   20250228,      161.45   ,       22,          0,           ,          ,        , 
ISA      , ORCL  ,      262.61  , 31/10/2025, 16:03 EDT, 5.71997    ,   259.51   ,   265.81   ,   256.7097 ,  14165859,   20250131,      171.15   ,       16,          0,           ,          ,        , 
ISA      , CSP1.L,    55743     , 31/10/2025, 18:15 GMT, -75        , 55949      , 56182      , 55585      ,     15698,   20221228,    32700      ,        6,          0,           ,          ,        , 
ISA      , CSP1.L,    55743     , 31/10/2025, 18:15 GMT, -75        , 55949      , 56182      , 55585      ,     15698,   20221104,    34124      ,        8,          0,           ,          ,        , 
ISA      , CSP1.L,    55743     , 31/10/2025, 18:15 GMT, -75        , 55949      , 56182      , 55585      ,     15698,   20221205,    34106      ,        5,          0,           ,          ,        , 
ISA      , GOOGL ,      281.19  , 31/10/2025, 16:00 EDT, -0.29000854,   282.79   ,   286      ,   277.03   ,  38488904,   20240301,      137.14   ,       17,          0,           ,          ,        , 
ISA      , GOOGL ,      281.19  , 31/10/2025, 16:00 EDT, -0.29000854,   282.79   ,   286      ,   277.03   ,  38488904,   20250508,      154.7    ,       12,          0,           ,          ,        , 
ISA      , GXLK.L,      122.09  , 31/10/2025, 15:45 GMT, -0.640007  ,   123.64418,   124.31219,   122.61751,      1132,   20251006,      113.82983,       22,          0,           ,          ,        , 
ISA      , GXLK.L,      122.09  , 31/10/2025, 15:45 GMT, -0.640007  ,   123.64418,   124.31219,   122.61751,      1132,   20241202,       95.06   ,       21,          0,           ,          ,        , 
ISA      , GXLK.L,      122.09  , 31/10/2025, 15:45 GMT, -0.640007  ,   123.64418,   124.31219,   122.61751,      1132,   20240605,       87.78   ,      189,          0,           ,          ,        , 
ISA      , GXLK.L,      122.09  , 31/10/2025, 15:45 GMT, -0.640007  ,   123.64418,   124.31219,   122.61751,      1132,   20241104,       89.2    ,       22,          0,           ,          ,        , 
ISA      , GXLK.L,      122.09  , 31/10/2025, 15:45 GMT, -0.640007  ,   123.64418,   124.31219,   122.61751,      1132,   20241223,       98.804  ,       20,          0,           ,          ,        , 
ISA      , GXLK.L,      122.09  , 31/10/2025, 15:45 GMT, -0.640007  ,   123.64418,   124.31219,   122.61751,      1132,   20241118,       93.47   ,       22,          0,           ,          ,        , 
ISA      , META  ,      648.35  , 31/10/2025, 16:00 EDT, -18.119995 ,   674.67   ,   674.89   ,   645.5735 ,  56719743,   20250304,      632.54   ,        3,          0,           ,          ,        , 
ISA      , META  ,      648.35  , 31/10/2025, 16:00 EDT, -18.119995 ,   674.67   ,   674.89   ,   645.5735 ,  56719743,   20240426,      443.29   ,        8,          0,           ,          ,        , 
ISA      , META  ,      648.35  , 31/10/2025, 16:00 EDT, -18.119995 ,   674.67   ,   674.89   ,   645.5735 ,  56719743,   20251031,      657.34   ,        4,          0,           ,          ,        , 
LISA     , MU    ,      223.77  , 31/10/2025, 16:00 EDT, -0.23999023,   227.71   ,   231.2456 ,   218.82   ,  15339301,   20240628,      131.678  ,       10,          0,           ,          ,        , 
LISA     , VUSA.L,       98.7325, 31/10/2025, 16:35 GMT, -0.19750214,    99.145  ,    99.5825 ,    98.555  ,    375774,   20220822,       67.11   ,       15,          0,           ,          ,        , 
LISA     , GME   ,       22.29  , 31/10/2025, 16:00 EDT, -0.289999  ,    22.775  ,    22.8044 ,    22.29   ,   4436591,   20220901,       27.63   ,       82,          0,           ,          ,        , 
LISA     , GME   ,       22.29  , 31/10/2025, 16:00 EDT, -0.289999  ,    22.775  ,    22.8044 ,    22.29   ,   4436591,   20221004,       27.6    ,       42,          0,           ,          ,        , 
LISA     , GME   ,       22.29  , 31/10/2025, 16:00 EDT, -0.289999  ,    22.775  ,    22.8044 ,    22.29   ,   4436591,   20220822,       34.5    ,       32,          0,           ,          ,        , 
LISA     , GXLK.L,      122.09  , 31/10/2025, 15:45 GMT, -0.640007  ,   123.64418,   124.31219,   122.61751,      1132,   20240909,       82.58   ,       18,          0,           ,          ,        , 
LISA     , GXLK.L,      122.09  , 31/10/2025, 15:45 GMT, -0.640007  ,   123.64418,   124.31219,   122.61751,      1132,   20241029,       91.8703 ,       16,          0,           ,          ,        , 
LISA     , GXLK.L,      122.09  , 31/10/2025, 15:45 GMT, -0.640007  ,   123.64418,   124.31219,   122.61751,      1132,   20250606,       91.7698 ,       54,          0,           ,          ,        , 
LISA     , GXLK.L,      122.09  , 31/10/2025, 15:45 GMT, -0.640007  ,   123.64418,   124.31219,   122.61751,      1132,   20240605,       87.78   ,       76,          0,           ,          ,        , 
